,-1.571,-1.249,-0.983,-0.785,-0.588,-0.322,-0.2,0.2,0.322,0.588,0.785,0.983,1.249,1.571
1.571,-0.013436875,-0.002830551,-0.004658632,-0.002902546,-0.001342752,0.000195714,0.00367621,0.007083194,0.008126686,0.008710255,0.010544276,0.015964233,0.019294005,0.031646917
1.047,-0.022484517,-0.029915278,-0.001077236,0.047848011,0.032494925,0.051742297,0.040283739,0.06373356,0.061397112,0.064158185,0.060471429,0.064557545,0.07035939,0.076300989
0.524,-0.038062069,-0.034233488,-0.032606093,-0.033994248,-0.019835863,0.049195283,0.084647159,0.18905162,0.169445748,0.180926634,0.151127815,0.174800872,0.204564044,0.211800447
0,-0.038216088,-0.037033238,-0.034095955,-0.032046985,-0.037017161,-0.026259593,-0.009507636,0.172515707,0.187072557,0.253101636,0.258096672,0.227602728,0.303361186,0.245650237
-0.524,-0.036321998,-0.034306495,-0.03790477,-0.035339651,-0.027520259,-0.028579006,-0.011949072,-0.012748912,-0.005732906,0.070937825,0.112880132,0.152222954,0.197272598,0.209977791
-1.047,-0.030872973,-0.027941604,-0.023921431,-0.029342149,-0.025051298,-0.020341931,-0.006409411,-0.009919232,2.92E-05,-0.004800664,0.009411158,0.017428973,0.068269449,0.100398276
-1.571,-0.013436875,-0.002830551,-0.004658632,-0.002902546,-0.001342752,0.000195714,0.00367621,0.007083194,0.008126686,0.008710255,0.010544276,0.015964233,0.019294005,0.031646917
,-1.571,-1.249,-0.983,-0.785,-0.588,-0.322,-0.2,0.2,0.322,0.588,0.785,0.983,1.249,1.571
1.571,0.000161281,0.079006688,0.064081167,0.092628172,0.093867745,0.11232521,0.078295431,0.051405908,0.051065445,0.057214767,0.050073852,0.046747821,0.049068056,-0.003158971
1.047,-0.033913058,-0.032342438,0.019284529,0.097195079,0.078716015,0.104934272,0.06888032,0.103306189,0.091217673,0.096602447,0.088879616,0.082157335,0.096880607,0.097550656
0.524,-0.020429582,-0.019247907,-0.015712073,-0.012245264,0.003179763,0.038455732,0.051788732,0.116221901,0.106567471,0.10611328,0.089512461,0.094940322,0.105153647,0.121060728
0,-0.000471609,-0.000231039,0.002130609,0.009024605,-0.000176902,-0.006522853,0.00941827,0.02678608,0.012676363,0.013769572,0.00703741,0.007434562,0.006252665,0.004177349
-0.524,0.019343223,0.022542045,0.024197959,0.0249623,0.022236131,0.02602364,0.013655523,0.037958824,0.030510595,-0.006782922,-0.038872412,-0.053292697,-0.090146167,-0.104386925
-1.047,0.048744212,0.046356198,0.043144106,0.044140727,0.041271126,0.035250514,0.013645235,0.05149033,0.040260305,0.048632653,0.033442001,0.018592521,-0.067345078,-0.122270925
-1.571,0.000161281,0.079006688,0.064081167,0.092628172,0.093867745,0.11232521,0.078295431,0.051405908,0.051065445,0.057214767,0.050073852,0.046747821,0.049068056,-0.003158971
